,bsz,lr,model,acc
297,256,0.01,MLP,39.7
298,256,0.01,MLP,37.35
299,256,0.01,MLP,46.37
300,64,0.01,MLP,42.69
301,64,0.01,MLP,45.48
302,64,0.01,MLP,43.31
303,64,0.01,MLP,45.88
304,64,0.01,MLP,37.84
305,64,0.01,MLP,52.47
306,64,0.01,MLP,36.31
307,64,0.01,MLP,31.84
308,64,0.01,MLP,39.35
309,64,0.01,MLP,39.18
310,16,0.0001,MLP,30.69
311,16,0.0001,MLP,38.33
312,16,0.0001,MLP,58.43
313,16,0.0001,MLP,49.29
314,16,0.0001,MLP,48.14
315,16,0.0001,MLP,75.85
316,16,0.0001,MLP,41.05
317,16,0.0001,MLP,44.39
318,16,0.0001,MLP,47.01
319,16,0.0001,MLP,71.52
320,16,0.0001,CNN,35.41
321,16,0.0001,CNN,43.81
322,16,0.0001,CNN,55.64
323,16,0.0001,CNN,54.6
324,16,0.0001,CNN,21.76
325,16,0.0001,CNN,47.78
326,16,0.0001,CNN,32.93
327,16,0.0001,CNN,78.12
328,16,0.0001,CNN,62.5
329,16,0.0001,CNN,57.72
330,64,0.1,CNN,13.63
331,64,0.1,CNN,10.97
332,64,0.1,CNN,9.82
333,64,0.1,CNN,6.26
334,64,0.1,CNN,11.35
335,64,0.1,CNN,8.92
336,64,0.1,CNN,10.28
337,64,0.1,CNN,9.75
338,64,0.1,CNN,10.28
339,64,0.1,CNN,11.01
340,32,0.0001,MLP,56.66
341,32,0.0001,MLP,55.22
342,32,0.0001,MLP,44.65
343,32,0.0001,MLP,30.28
344,32,0.0001,MLP,61.7
345,32,0.0001,MLP,63.48
346,32,0.0001,MLP,70.21
347,32,0.0001,MLP,39.92
348,32,0.0001,MLP,36.48
349,32,0.0001,MLP,76.04
350,256,0.0001,MLP,77.13
351,256,0.0001,MLP,29.74
352,256,0.0001,MLP,67.76
353,256,0.0001,MLP,62.61
354,256,0.0001,MLP,36.82
355,256,0.0001,MLP,34.38
356,256,0.0001,MLP,64.47
357,256,0.0001,MLP,59.04
358,256,0.0001,MLP,48.03
359,256,0.0001,MLP,35.96
360,8,0.01,CNN,23.0
361,8,0.01,CNN,14.57
362,8,0.01,CNN,18.92
363,8,0.01,CNN,4.73
364,8,0.01,CNN,33.31
